time_s,value
0.023750,1.522576
0.023771,1.499866
0.023792,1.571649
0.023813,1.638064
0.023833,1.743351
0.023854,1.805684
0.023875,1.867438
0.023896,1.940185
0.023917,1.949179
0.023937,2.029820
0.023958,2.054137
0.023979,2.135251
0.024000,2.115870
0.024021,2.097207
0.024042,2.106080
0.024062,2.089118
0.024083,2.114087
0.024104,2.064386
0.024125,2.066352
0.024146,2.033905
0.024167,2.057376
0.024187,2.008004
0.024208,1.948932
0.024229,1.926207
0.024250,1.870927
0.024271,1.884326
0.024292,1.823347
0.024312,1.831669
0.024333,1.762500
0.024354,1.684192
0.024375,1.623780
0.024396,1.567772
0.024417,1.543211
0.024438,1.440000
0.024458,1.364422
0.024479,1.217345
0.024500,1.155644
0.024521,1.045114
0.024542,0.918172
0.024563,0.813897
0.024583,0.689771
0.024604,0.640799
0.024625,0.507482
0.024646,0.441850
0.024667,0.351865
0.024688,0.298841
0.024708,0.255725
0.024729,0.245787
0.024750,0.274044
0.024771,0.230176
0.024792,0.227260
0.024813,0.137619
0.024833,0.140480
0.024854,0.122831
0.024875,0.089652
0.024896,0.036712
0.024917,-0.057397
0.024937,-0.071014
0.024958,-0.148935
0.024979,-0.182931
0.025000,-0.248134
0.025021,-0.246916
0.025042,-0.269092
0.025062,-0.275888
0.025083,-0.242961
0.025104,-0.269839
0.025125,-0.226869
0.025146,-0.258185
0.025167,-0.211186
0.025187,-0.184946
0.025208,-0.165162
0.025229,-0.192356
0.025250,-0.286671
0.025271,-0.316981
0.025292,-0.376854
0.025313,-0.399898
0.025333,-0.512012
0.025354,-0.561246
0.025375,-0.645936
0.025396,-0.736155
0.025417,-0.792065
0.025438,-0.901238
0.025458,-0.936973
0.025479,-1.038124
0.025500,-1.080087
0.025521,-1.154633
0.025542,-1.203356
0.025563,-1.270020
0.025583,-1.373337
0.025604,-1.425163
0.025625,-1.483955
0.025646,-1.470588
0.025667,-1.582687
0.025688,-1.654912
0.025708,-1.741784
0.025729,-1.814464
0.025750,-1.852202
0.025771,-1.938736
0.025792,-1.968750
0.025812,-2.061353
0.025833,-2.100088
0.025854,-2.183754
0.025875,-2.219650
0.025896,-2.255129
0.025917,-2.289619
0.025937,-2.284848
0.025958,-2.306318
0.025979,-2.211468
